n,pattern,height,avg_depth,balance_height,balance_size
20000,random,33,16,0.484375,0.535714
20000,random,33,17,0.540984,0.527778
20000,random,37,17,0.362069,0.366337
20000,random,30,16,0.5,0.557692
20000,random,35,17,0.603448,0.603604
20000,random,33,17,0.34,0.337079
20000,random,31,16,0.516667,0.509259
20000,random,34,16,0.492537,0.476562
20000,random,40,16,0.555556,0.546218
20000,random,34,17,0.492537,0.442478
20000,random,32,16,0.466667,0.486726
20000,random,33,16,0.55,0.6
20000,random,35,17,0.603448,0.595745
20000,random,30,16,0.508475,0.504348
20000,random,30,17,0.526316,0.525253
20000,random,33,16,0.532258,0.553571
20000,random,34,16,0.413793,0.4
20000,random,32,16,0.47541,0.468468
20000,random,32,15,0.483871,0.463636
20000,random,32,16,0.52459,0.517241
20000,random,30,16,0.5,0.504587
20000,random,34,18,0.306122,0.27381
20000,random,34,16,0.507463,0.530973
20000,random,33,16,0.647059,0.693182
20000,random,34,16,0.46875,0.463636
20000,random,30,16,0.508475,0.528302
20000,random,36,17,0.492958,0.521008
20000,random,33,17,0.540984,0.563107
20000,random,41,17,0.577465,0.570248
20000,random,33,16,0.55,0.564815
20000,random,33,16,0.431034,0.442308
20000,random,31,15,0.474576,0.472727
20000,random,37,19,0.412698,0.45045
20000,random,33,16,0.467742,0.453704
20000,random,33,17,0.507692,0.486486
20000,random,32,16,0.492063,0.464286
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,ascending,42,25,0,0
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
20000,descending,10004,4557,0.555562,0.555562
25000,random,37,18,0.383333,0.353535
25000,random,30,16,0.517241,0.542056
25000,random,39,20,0.338983,0.382353
25000,random,31,16,0.474576,0.457944
25000,random,34,17,0.451613,0.428571
25000,random,32,17,0.542373,0.556604
25000,random,35,17,0.530303,0.433962
25000,random,32,16,0.483871,0.517857
25000,random,33,17,0.352941,0.357895
25000,random,32,17,0.52459,0.561905
25000,random,35,16,0.538462,0.540984
25000,random,34,17,0.641509,0.643564
25000,random,34,17,0.460317,0.475
25000,random,32,17,0.466667,0.469027
25000,random,32,16,0.52459,0.5
25000,random,32,17,0.492063,0.551402
25000,random,33,17,0.52381,0.516667
25000,random,33,17,0.507692,0.504762
25000,random,34,17,0.515152,0.486726
25000,random,34,16,0.523077,0.512605
25000,random,32,17,0.483871,0.522124
25000,random,37,16,0.447761,0.425
25000,random,35,17,0.42623,0.416667
25000,random,34,18,0.515152,0.536364
25000,random,37,18,0.649123,0.649485
25000,random,36,17,0.6,0.587629
25000,random,33,16,0.5,0.5
25000,random,33,16,0.388889,0.382353
25000,random,33,17,0.559322,0.54955
25000,random,33,17,0.55,0.5625
25000,random,38,18,0.254902,0.261364
25000,random,36,17,0.454545,0.469027
25000,random,35,18,0.583333,0.653061
25000,random,36,17,0.580645,0.584071
25000,random,34,16,0.548387,0.583333
25000,random,32,16,0.52459,0.574074
25000,random,39,18,0.58209,0.557377
25000,random,33,17,0.484375,0.461538
25000,random,41,17,0.453333,0.463415
25000,random,31,17,0.5,0.504587
25000,random,33,16,0.540984,0.534483
25000,random,31,16,0.516667,0.522124
25000,random,34,16,0.507463,0.521739
25000,random,34,17,0.515152,0.490566
