n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
100000,0.01,descending,121,60,0.840278,0.790055
100000,0.01,descending,126,61,0.863014,0.815217
100000,0.01,descending,109,55,0.807407,0.775862
100000,0.01,descending,106,57,0.834646,0.795031
100000,0.01,descending,107,52,0.798507,0.733333
100000,0.01,descending,112,53,0.861538,0.79878
100000,0.01,descending,114,58,0.826087,0.789773
100000,0.01,descending,108,53,0.818182,0.779141
100000,0.01,descending,126,62,0.863014,0.824859
100000,0.01,descending,115,58,0.858209,0.779141
100000,0.01,descending,109,57,0.858268,0.8
100000,0.01,descending,106,58,0.854839,0.820513
100000,0.01,descending,107,53,0.869919,0.807692
100000,0.01,descending,94,50,0.810345,0.754967
100000,0.01,descending,110,59,0.827068,0.75625
100000,0.01,descending,112,54,0.835821,0.774011
100000,0.01,descending,130,59,0.890411,0.869318
100000,0.01,descending,133,65,0.847134,0.801047
100000,0.01,descending,136,73,0.834356,0.775
100000,0.01,descending,99,50,0.846154,0.77931
100000,0.01,descending,131,65,0.879195,0.831522
100000,0.01,descending,108,53,0.818182,0.738636
100000,0.01,descending,105,50,0.833333,0.779762
100000,0.01,descending,119,60,0.894737,0.873418
100000,0.01,descending,113,66,0.882812,0.901316
100000,0.01,descending,116,56,0.834532,0.79096
100000,0.01,descending,117,59,0.818182,0.766304
100000,0.01,descending,132,67,0.897959,0.872928
100000,0.01,descending,103,53,0.895652,0.85034
100000,0.01,descending,119,60,0.843972,0.773684
100000,0.01,descending,129,67,0.848684,0.804124
100000,0.01,descending,110,53,0.873016,0.869281
100000,0.01,descending,115,54,0.884615,0.847561
100000,0.01,descending,125,63,0.892857,0.864198
100000,0.01,descending,111,56,0.853846,0.780488
100000,0.01,descending,113,61,0.957627,0.964286
100000,0.1,descending,41,21,0.554054,0.519685
100000,0.1,descending,45,24,0.681818,0.648649
100000,0.1,descending,38,19,0.550725,0.52
100000,0.1,descending,45,22,0.592105,0.617886
100000,0.1,descending,47,24,0.626667,0.565217
100000,0.1,descending,44,21,0.611111,0.592593
100000,0.1,descending,39,19,0.48,0.538462
100000,0.1,descending,41,21,0.585714,0.644068
100000,0.1,descending,42,21,0.677419,0.745098
100000,0.1,descending,40,21,0.56338,0.546875
100000,0.1,descending,41,22,0.594203,0.601562
100000,0.1,descending,42,21,0.608696,0.591667
100000,0.1,descending,49,24,0.720588,0.682243
100000,0.1,descending,39,20,0.573529,0.579832
100000,0.1,descending,39,19,0.527027,0.518248
100000,0.1,descending,41,22,0.719298,0.742574
100000,0.1,descending,43,22,0.581081,0.554688
100000,0.1,descending,43,22,0.597222,0.569106
100000,0.1,descending,42,22,0.608696,0.61157
100000,0.1,descending,39,21,0.513158,0.532258
100000,0.1,descending,39,20,0.527027,0.537313
100000,0.1,descending,42,20,0.583333,0.56391
100000,0.1,descending,41,20,0.554054,0.52381
